detection_datetime,receiver_deployment_longitude,receiver_deployment_latitude,station_name,Location,Tag_ID,Departure_date,Arrival_date,Departure_location,Arrival_location,Sex,Num_days,Direction,original_id,movement,Movement_date,distance,Presence,month,SST,SST_m_avrg,SST_anomaly,cur_GSLA,cur_m_avrg_GSLA,anomaly_GSLA,cur_UCUR,cur_m_avrg_UCUR,anomaly_UCUR,cur_VCUR,cur_m_avrg_VCUR,anomaly_VCUR,bathy,dist_to_land,lunar.illumination,lunar.phase,lunar.phase.deg
2013-08-10,153.27,-30.2,SIMP 5 Sth Sol Manta Arch,Coffs Harbour,5762,2013-07-24,2013-08-10,Wolf Rock,Coffs Harbour,F,17,South,449,Arrival,2013-08-10,477.61008157991114,1,8,19.089855194091797,19.4649019722415,-0.3750467781497022,0.08957318961620331,-0.06190727885224413,0.15148046846844743,-0.02914562076330185,-0.06190727885224413,0.03276165808894228,-0.15244227647781372,-0.06190727885224413,-0.0905349976255696,-31,10,0.18486376626005546,0.8888922164687455,50.92977244568828
2013-10-05,153.27,-30.2,SIMP 5 Sth Sol Manta Arch,Coffs Harbour,5762,2013-07-24,2013-08-10,Wolf Rock,Coffs Harbour,F,17,South,449,Arrival,2013-08-10,477.61008157991114,0,10,19.982675552368164,20.450075114961837,-0.4673995625936733,0.12604336440563202,-0.06670618611037411,0.19274955051600612,-0.041963592171669,-0.06670618611037411,0.02474259393870511,-0.19196435809135437,-0.06670618611037411,-0.12525817198098027,-31,10,0.014043565559622717,0.23756938370198374,13.611723027647715
2013-01-15,153.27,-30.2,SIMP 5 Sth Sol Manta Arch,Coffs Harbour,5762,2013-07-24,2013-08-10,Wolf Rock,Coffs Harbour,F,17,South,449,Arrival,2013-08-10,477.61008157991114,0,1,23.831008911132813,23.62319725261015,0.2078116585226617,0.01831138506531715,-0.11100852131463028,0.12931990637994742,-0.06927807629108429,-0.11100852131463028,0.04173044502354599,-0.22843453288078308,-0.11100852131463028,-0.1174260115661528,-31,10,0.16184928856426706,0.8280663169108795,47.4447051159359
2013-10-27,150.23,-36.25,N9,Montague Island,5763,2013-09-26,2013-10-27,deg_-31,Montague Island,F,31,South,453,Arrival,2013-10-27,648.155762886624,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,1,0.39768189797931286,4.91848101218487,281.8082036134263
2013-08-27,150.23,-36.25,N9,Montague Island,5763,2013-09-26,2013-10-27,deg_-31,Montague Island,F,31,South,453,Arrival,2013-10-27,648.155762886624,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,1,0.6024828618639888,4.505960293023597,258.17250744378384
2013-02-16,150.23,-36.25,N9,Montague Island,5763,2013-09-26,2013-10-27,deg_-31,Montague Island,F,31,South,453,Arrival,2013-10-27,648.155762886624,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,1,0.39219494880157973,1.35347974206989,77.54867687705996
2022-11-17,153.58,-27.42,SI 6,Flat Rock,57801,2022-11-17,2022-11-17,deg_-28,Flat Rock,M,0,North,460,Arrival,2022-11-17,15.044634781797102,1,11,23.092126846313477,23.325362864186506,-0.23323601787302903,-0.06958326697349548,-0.10894087291360276,0.03935760594010727,0.1422184258699417,-0.10894087291360276,0.2511592987835445,-0.5131765604019165,-0.10894087291360276,-0.40423568748831373,-44,5,0.3388152373055865,5.040620563569049,288.80628441936096
2022-07-05,153.58,-27.42,SI 6,Flat Rock,57801,2022-11-17,2022-11-17,deg_-28,Flat Rock,M,0,North,460,Arrival,2022-11-17,15.044634781797102,0,7,21.81471148404208,21.05990225562784,0.7548092284142385,0.1274167150259018,-0.04772296617078874,0.17513968119669054,0.0527978278696537,-0.04772296617078874,0.10052079404044244,0.2006622552871704,-0.04772296617078874,0.24838522145795916,-44,5,0.4395430744161628,1.4495858902340437,83.05515355212492
2022-08-01,153.58,-27.42,SI 6,Flat Rock,57801,2022-11-17,2022-11-17,deg_-28,Flat Rock,M,0,North,460,Arrival,2022-11-17,15.044634781797102,0,8,20.046206734397195,20.899157459557287,-0.8529507251600918,0.02761967293918132,-0.07249748266146373,0.10011715560064505,0.03647017478942871,-0.07249748266146373,0.10896765745089244,-0.07217737287282944,-0.07249748266146373,3.2010978863429573e-4,-44,5,0.19358356990171782,0.9111557634651988,52.205379725576215
2022-11-20,153.56,-27.42,SI 3,Flat Rock,63014,2022-10-09,2022-11-20,deg_-27,Flat Rock,M,42,South,467,Arrival,2022-11-20,53.88111183561736,1,11,23.09311866760254,23.325362864186506,-0.23224419658396656,-0.01907435990869999,-0.10894087291360276,0.08986651300490277,0.08606351166963577,-0.10894087291360276,0.19500438458323857,-0.37751972675323486,-0.10894087291360276,-0.2685788538396321,-27,3,0.08853822766627079,5.6789266947257975,325.37853177196666
2022-10-27,153.56,-27.42,SI 3,Flat Rock,63014,2022-10-09,2022-11-20,deg_-27,Flat Rock,M,42,South,467,Arrival,2022-11-20,53.88111183561736,0,10,23.29986502907493,22.14122370749191,1.1586413215830191,0.04913555085659027,-0.10378196769924734,0.15291751855583763,0.08407977968454361,-0.10378196769924734,0.18786174738379097,-0.21424320340156555,-0.10378196769924734,-0.1104612357023182,-27,3,0.07971931223531264,0.5724776454718052,32.80055295112106
2022-01-22,153.56,-27.42,SI 3,Flat Rock,63014,2022-10-09,2022-11-20,deg_-27,Flat Rock,M,42,South,467,Arrival,2022-11-20,53.88111183561736,0,1,26.286107381184895,26.002124205392303,0.28398317579259214,0.1474066525697708,-0.114935713339932,0.26234236590970283,0.03311308845877647,-0.114935713339932,0.14804880179870847,-0.2214151620864868,-0.114935713339932,-0.1064794487465548,-27,3,0.7209698066441357,4.254629230076542,243.77229827638075
2022-12-25,150.24,-36.25,N9,Montague Island,63014,2022-11-20,2022-12-25,Flat Rock,Montague Island,M,35,South,468,Arrival,2022-12-25,1031.6735931198557,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45,1,0.07622933645913349,0.5594609438617925,32.05475088568619
2022-07-01,150.24,-36.25,N9,Montague Island,63014,2022-11-20,2022-12-25,Flat Rock,Montague Island,M,35,South,468,Arrival,2022-12-25,1031.6735931198557,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45,1,0.08691228756300606,0.5985110486918307,34.29215708199081
2022-04-27,150.24,-36.25,N9,Montague Island,63014,2022-11-20,2022-12-25,Flat Rock,Montague Island,M,35,South,468,Arrival,2022-12-25,1031.6735931198557,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45,1,0.10656768329526822,5.6181007951675745,321.8934644421938
2022-11-20,153.58,-27.42,SI 6,Flat Rock,63015,2022-11-19,2022-11-20,deg_-28,Flat Rock,M,1,North,471,Arrival,2022-11-20,15.044634781797102,1,11,23.09311866760254,23.325362864186506,-0.23224419658396656,-0.01907435990869999,-0.10894087291360276,0.08986651300490277,0.08606351166963577,-0.10894087291360276,0.19500438458323857,-0.37751972675323486,-0.10894087291360276,-0.2685788538396321,-44,5,0.08853822766627079,5.6789266947257975,325.37853177196666
2022-09-04,153.58,-27.42,SI 6,Flat Rock,63015,2022-11-19,2022-11-20,deg_-28,Flat Rock,M,1,North,471,Arrival,2022-11-20,15.044634781797102,0,9,19.528319098732688,21.017384575490976,-1.489065476758288,0.1744159460067749,-0.07900751256864773,0.25342345857542264,0.0315871387720108,-0.07900751256864773,0.11059465134065852,-0.12024476379156113,-0.07900751256864773,-0.0412372512229134,-44,5,0.6436037747777325,1.862106609395316,106.69084972176734
2022-04-16,153.58,-27.42,SI 6,Flat Rock,63015,2022-11-19,2022-11-20,deg_-28,Flat Rock,M,1,North,471,Arrival,2022-11-20,15.044634781797102,0,4,24.159121894836424,25.144795650442,-0.9856737556055748,0.2009674459695816,-0.03767752496506831,0.23864497093464992,-0.01525948755443096,-0.03767752496506831,0.02241803741063734,-0.14969557523727417,-0.03767752496506831,-0.11201805027220586,-44,5,0.9953795747543561,3.277644980926399,187.79522414931986
