Location,Tag_ID,Sex,Direction,movement,Presence,month,SST,SST_anomaly,cur_GSLA,anomaly_GSLA,cur_VCUR,anomaly_VCUR,lunar.illumination
Moreton Island,6388,M,North,Arrival,0,9,21.264978408813477,0.21905474097533428,0.03423923751339614,0.12194772259809387,0.14041322648525456,0.2281217115699523,0.28076431609303076
Moreton Island,6388,M,North,Arrival,0,3,26.1356143951416,-0.07258452799782944,0.12800421401858347,0.1957391476527912,-0.22842079807071225,-0.1606858644365045,0.04174543442098538
Flat Rock,6388,M,South,Arrival,1,11,23.65703773498535,0.15983453992719632,-0.0579860545694828,0.05095481834411995,-0.5319457650184631,-0.4230048921048603,0.6526809334695246
Flat Rock,6388,M,South,Arrival,0,12,24.998987197875977,0.2682539528765595,0.04043764248490333,0.1458575810585262,-0.44115179777145386,-0.335731859197831,0.9365481123076294
Flat Rock,6388,M,South,Arrival,0,2,26.68194007873535,0.3532731603403505,0.0845375582575798,0.16986750669400014,-0.14694885909557345,-0.06161891065915313,0.8864951121597162
Flat Rock,6388,M,North,Arrival,1,7,20.56574058532715,-0.7188591345762596,0.07217737287282944,0.1199003390436182,-0.5855065584182739,-0.5377835922474852,0.2652653574171279
Flat Rock,6388,M,North,Arrival,0,12,24.799083709716797,0.06835046471737982,-0.06103795021772384,0.04438198835589902,-0.5996978878974915,-0.4942779493238686,0.006164408440072544
Flat Rock,6388,M,North,Arrival,0,6,22.66977310180664,0.4133985803482396,0.16129277646541595,0.17481453235853803,-0.32579004764556885,-0.3122682917524468,0.1363598322122359
Flat Rock,6388,M,North,Arrival,1,8,20.99321937561035,-0.04093892354993755,-0.08758945763111115,-0.01509197496964741,-0.551020085811615,-0.47852260315015127,0.0116488892971372
Flat Rock,6388,M,North,Arrival,0,4,25.77776527404785,0.6071560266541276,0.03845391049981117,0.07613143546487948,0.08362199366092682,0.12129951862599513,0.089821156173292
Flat Rock,6388,M,North,Arrival,0,11,25.047510147094727,1.550306952036571,0.07004104554653168,0.17898191846013445,-0.3694321811199188,-0.26049130820631605,0.5044782298947279
Flat Rock,6388,M,North,Arrival,1,9,21.027246475219727,-0.16062945797812844,0.00396746676415205,0.08297497933279978,-0.4974592924118042,-0.41845177984315646,0.6162960304161124
Flat Rock,6388,M,North,Arrival,0,5,24.7994327545166,1.0999647549220484,0.14679627120494845,0.1406821840317995,-0.1693803071975708,-0.17549439437071976,0.021761369432214017
Flat Rock,6388,M,North,Arrival,0,1,26.702905654907227,0.4912415616652552,0.04348953813314438,0.15842525147307637,-0.5072253942489624,-0.3922896809090304,0.3826690236417784
Moreton Island,6388,M,North,Arrival,1,10,22.0289249420166,-0.09810862008178134,0.05658065453171529,0.1607589125943596,-0.48879951998589016,-0.38462126192324586,0.7682966836699288
Moreton Island,6388,M,North,Arrival,0,1,26.8612003326416,0.8958849065444063,0.05285276055335902,0.1694413047611905,-0.3442708319425417,-0.22768228773471025,0.3278480117629896
Moreton Island,6388,M,North,Arrival,0,1,26.3300724029541,0.36475697685690633,0.0336883715167626,0.15027691572459406,-0.4248729732632419,-0.3082844290554104,0.9972190991241736
Coffs Harbour,6388,M,South,Arrival,1,12,20.963403701782227,-1.0911099833826867,0.07156699895858765,0.15347211222908116,-0.19867852330207825,-0.11677341003158472,0.2671471044423466
Coffs Harbour,6388,M,South,Arrival,0,4,24.68181800842285,0.8669392713686328,0.14664366841316223,0.2111837480207811,0.02655150927603244,0.09109158888365132,0.7516202936335485
Coffs Harbour,6388,M,South,Arrival,0,9,19.32525062561035,-0.2634063825056536,0.0793493390083313,0.13904474555660043,-0.43779468536376953,-0.3780992788155004,0.5139805381664914
Flat Rock,6388,M,North,Arrival,1,7,20.81081234325062,-0.2490899123772188,0.11383577436208724,0.16155874053287597,-0.3109883666038513,-0.26326540043306257,0.1101504664348198
Flat Rock,6388,M,North,Arrival,0,6,21.963713212446734,-0.24168024271899924,0.0947614163160324,0.10828317220915444,-0.2919139862060547,-0.27839223031293264,0.19417260048299184
Flat Rock,6388,M,North,Arrival,0,10,20.52372481606223,-1.6174988914296795,-0.08850502967834473,0.01527693802090261,-0.4556483030319214,-0.35186633533267403,0.001917400756720311
Flat Rock,6388,M,North,Arrival,1,9,21.10071182250977,-0.08716411068808583,0.11322540044784546,0.1922329130164932,-0.28382647037506104,-0.2048189578064133,0.5780009949619638
Flat Rock,6388,M,North,Arrival,0,7,19.89938735961914,-1.3852123602842674,9.155692532658576e-4,0.0486385354240546,-0.3173973560333252,-0.26967438986253645,0.47845156259547633
Flat Rock,6388,M,North,Arrival,0,7,21.21322250366211,-0.07137721624129867,0.08804724365472794,0.13577020982551669,-0.4538171589374542,-0.4060941927666655,0.9718267662207333
Coffs Harbour,6388,M,South,Arrival,1,6,NA,NA,0.11429356038570404,0.13906001716315972,-0.35127341747283936,-0.32650696069538365,0.18563210243455597
Coffs Harbour,6388,M,South,Arrival,0,9,19.03852735246931,-0.1883477958036508,0.09857629239559174,0.15827169894386087,0.1742633432149887,0.23395874976325784,0.08487545615366471
Coffs Harbour,6388,M,South,Arrival,0,9,19.03852735246931,-0.1883477958036508,0.05478155985474586,0.114476966403015,0.10132300108671188,0.161018407634981,0.5420946819194592
